tray,block,ind,germ,area,cross
lc_3,12,13,1,0.382,cal
lc_3,12,14,0,0.247,cal
lc_3,12,15,1,0.318,cal
lc_3,12,16,1,0.311,cal
lc_3,12,17,0,0.323,cal
lc_3,12,18,1,0.301,cal
lc_3,12,19,0,0.246,cal
lc_4,1,1,0,0.286,lon
lc_4,1,2,0,0.201,lon
lc_4,1,3,1,0.277,lon
lc_4,1,4,0,0.301,lon
lc_4,1,5,1,0.242,lon
lc_4,1,6,0,0.272,lon
lc_4,1,7,0,0.148,lon
lc_4,1,8,0,0.277,lon
lc_4,1,9,0,0.219,lon
lc_4,1,10,0,0.301,lon
lc_4,1,11,1,0.262,lon
lc_4,1,12,0,0.197,lon
lc_4,1,13,0,0.188,lon
lc_4,1,14,1,0.262,lon
lc_4,1,15,1,0.257,lon
lc_4,1,16,0,0.257,lon
lc_4,1,17,1,0.286,lon
lc_4,2,1,1,0.34,f1
lc_4,2,2,1,0.364,f1
lc_4,2,3,1,0.388,f1
lc_4,2,4,1,0.424,f1
lc_4,2,5,1,0.287,f1
lc_4,2,6,1,0.322,f1
lc_4,2,7,1,0.408,f1
lc_4,2,8,1,0.362,f1
lc_4,2,9,0,0.313,f1
lc_4,2,10,1,0.359,f1
lc_4,2,11,0,0.269,f1
lc_4,2,12,0,0.334,f1
lc_4,2,13,1,0.369,f1
lc_4,2,14,0,0.365,f1
lc_4,2,15,0,0.372,f1
lc_4,2,16,1,0.282,f1
lc_4,2,17,0,0.357,f1
lc_4,2,18,0,0.315,f1
lc_4,2,19,0,0.31,f1
lc_4,3,1,1,0.297,f2
lc_4,3,2,1,0.246,f2
lc_4,3,3,0,0.232,f2
lc_4,3,4,0,0.157,f2
lc_4,3,5,1,0.246,f2
lc_4,3,6,1,0.227,f2
lc_4,3,7,1,0.308,f2
lc_4,3,8,1,0.272,f2
lc_4,3,9,1,0.173,f2
lc_4,3,10,1,0.229,f2
lc_4,3,11,1,0.212,f2
lc_4,3,12,1,0.237,f2
lc_4,3,13,1,0.326,f2
lc_4,3,14,1,0.316,f2
lc_4,3,15,0,0.277,f2
lc_4,3,16,1,0.237,f2
lc_4,3,17,1,0.282,f2
lc_4,3,18,0,0.25,f2
lc_4,3,19,1,0.26,f2
lc_4,4,1,1,0.258,bc_lon
lc_4,4,2,1,0.382,bc_lon
lc_4,4,3,1,0.333,bc_lon
lc_4,4,4,0,0.185,bc_lon
lc_4,4,5,0,0.271,bc_lon
lc_4,4,6,0,0.292,bc_lon
lc_4,4,7,1,0.298,bc_lon
lc_4,4,8,0,0.286,bc_lon
lc_4,4,9,1,0.241,bc_lon
lc_4,4,10,1,0.285,bc_lon
lc_4,4,11,0,0.238,bc_lon
lc_4,4,12,0,0.227,bc_lon
lc_4,4,13,1,0.219,bc_lon
lc_4,4,14,1,0.245,bc_lon
lc_4,4,15,0,0.295,bc_lon
lc_4,4,16,1,0.318,bc_lon
lc_4,4,17,0,0.316,bc_lon
lc_4,4,18,0,0.322,bc_lon
lc_4,4,19,1,0.304,bc_lon
lc_4,4,20,1,0.273,bc_lon
lc_4,5,1,0,0.325,cal
lc_4,5,2,0,0.294,cal
lc_4,5,3,0,0.348,cal
lc_4,5,4,0,0.291,cal
lc_4,5,5,0,0.318,cal
lc_4,5,6,0,0.31,cal
lc_4,5,7,1,0.305,cal
lc_4,5,8,1,0.227,cal
lc_4,5,9,0,0.297,cal
lc_4,5,10,1,0.247,cal
lc_4,5,11,0,0.298,cal
lc_4,5,12,1,0.335,cal
lc_4,5,13,1,0.288,cal
lc_4,5,14,0,0.259,cal
lc_4,5,15,1,0.259,cal
lc_4,5,16,1,0.432,cal
lc_4,5,17,1,0.308,cal
lc_4,5,18,1,0.344,cal
lc_4,5,19,0,0.329,cal
lc_4,5,20,0,0.262,cal
lc_4,6,1,1,0.347,bc_cal
lc_4,6,2,1,0.245,bc_cal
lc_4,6,3,1,0.35,bc_cal
lc_4,6,4,1,0.298,bc_cal
lc_4,6,5,1,0.275,bc_cal
lc_4,6,6,0,0.331,bc_cal
lc_4,6,7,1,0.264,bc_cal
lc_4,6,8,0,0.243,bc_cal
lc_4,6,9,1,0.198,bc_cal
lc_4,6,10,0,0.309,bc_cal
lc_4,6,11,1,0.299,bc_cal
lc_4,6,12,0,0.217,bc_cal
lc_4,6,13,1,0.274,bc_cal
lc_4,6,14,1,0.314,bc_cal
lc_4,7,1,0,0.268,bc_lon
lc_4,7,2,0,0.227,bc_lon
lc_4,7,3,0,0.281,bc_lon
lc_4,7,4,0,0.36,bc_lon
lc_4,7,5,0,0.297,bc_lon
lc_4,7,6,0,0.283,bc_lon
lc_4,7,7,1,0.264,bc_lon
lc_4,7,8,1,0.297,bc_lon
lc_4,7,9,1,0.214,bc_lon
lc_4,7,10,0,0.233,bc_lon
lc_4,7,11,0,0.363,bc_lon
lc_4,7,12,1,0.281,bc_lon
lc_4,7,13,1,0.385,bc_lon
lc_4,7,14,0,0.298,bc_lon
lc_4,7,15,1,0.374,bc_lon
lc_4,7,16,0,0.239,bc_lon
lc_4,7,17,1,0.287,bc_lon
lc_4,7,18,1,0.304,bc_lon
lc_4,7,19,0,0.16,bc_lon
lc_4,8,1,1,0.261,f1
lc_4,8,2,1,0.316,f1
lc_4,8,3,1,0.297,f1
lc_4,8,4,0,0.248,f1
lc_4,8,5,1,0.303,f1
lc_4,8,6,1,0.334,f1
lc_4,8,7,0,0.284,f1
lc_4,8,8,1,0.275,f1
lc_4,8,9,1,0.239,f1
lc_4,8,10,1,0.411,f1
lc_4,8,11,1,0.298,f1
lc_4,8,12,1,0.313,f1
lc_4,8,13,0,0.353,f1
lc_4,8,14,0,0.332,f1
lc_4,8,15,1,0.221,f1
lc_4,8,16,0,0.239,f1
lc_4,8,17,1,0.286,f1
lc_4,8,18,0,0.324,f1
lc_4,8,19,0,0.25,f1
lc_4,8,20,0,0.276,f1
lc_4,9,1,1,0.39,cal
lc_4,9,2,1,0.398,cal
lc_4,9,3,0,0.357,cal
lc_4,9,4,1,0.393,cal
lc_4,9,5,1,0.41,cal
lc_4,9,6,0,0.355,cal
lc_4,9,7,1,0.371,cal
lc_4,9,8,0,0.265,cal
lc_4,9,9,0,0.393,cal
lc_4,9,10,0,0.38,cal
lc_4,9,11,1,0.266,cal
lc_4,9,12,1,0.373,cal
lc_4,9,13,0,0.405,cal
lc_4,9,14,0,0.34,cal
lc_4,9,15,0,0.327,cal
lc_4,9,16,0,0.359,cal
lc_4,9,17,1,0.302,cal
lc_4,9,18,1,0.346,cal
lc_4,9,19,0,0.41,cal
lc_4,10,1,0,0.326,bc_cal
lc_4,10,2,1,0.315,bc_cal
lc_4,10,3,0,0.279,bc_cal
lc_4,10,4,0,0.307,bc_cal
lc_4,10,5,1,0.399,bc_cal
lc_4,10,6,0,0.282,bc_cal
lc_4,10,7,1,0.242,bc_cal
lc_4,10,8,1,0.198,bc_cal
lc_4,10,9,0,0.242,bc_cal
lc_4,10,10,0,0.362,bc_cal
lc_4,10,11,1,0.283,bc_cal
lc_4,10,12,1,0.239,bc_cal
lc_4,10,13,0,0.29,bc_cal
lc_4,10,14,0,0.261,bc_cal
lc_4,10,15,1,0.347,bc_cal
lc_4,10,16,1,0.274,bc_cal
lc_4,10,17,1,0.256,bc_cal
lc_4,10,18,1,0.329,bc_cal
lc_4,10,19,0,0.22,bc_cal
lc_4,11,1,0,0.246,f2
lc_4,11,2,1,0.343,f2
lc_4,11,3,1,0.321,f2
lc_4,11,4,0,0.311,f2
lc_4,11,5,0,0.264,f2
lc_4,11,6,1,0.265,f2
lc_4,11,7,1,0.282,f2
lc_4,11,8,1,0.277,f2
lc_4,11,9,1,0.312,f2
lc_4,11,10,0,0.28,f2
lc_4,11,11,0,0.287,f2
lc_4,11,12,0,0.313,f2
lc_4,11,13,0,0.229,f2
lc_4,11,14,0,0.251,f2
lc_4,11,15,0,0.211,f2
lc_4,12,1,1,0.394,lon
lc_4,12,2,1,0.296,lon
lc_4,12,3,1,0.358,lon
lc_4,12,4,0,0.301,lon
lc_4,12,5,1,0.284,lon
lc_4,12,6,0,0.264,lon
lc_4,12,7,1,0.347,lon
lc_4,12,8,0,0.298,lon
lc_4,12,9,0,0.232,lon
lc_4,12,10,1,0.269,lon
lc_4,12,11,0,0.331,lon
lc_4,12,12,0,0.292,lon
lc_4,12,13,1,0.266,lon
lc_4,12,14,1,0.278,lon
lc_4,12,15,1,0.296,lon
lc_4,12,16,0,0.242,lon
lc_4,12,17,1,0.293,lon
lc_4,12,18,1,0.337,lon
lc_4,12,19,1,0.323,lon
lc_4,12,20,1,0.337,lon
lc_5,1,1,0,0.296,cal
lc_5,1,2,0,0.301,cal
lc_5,1,3,0,0.299,cal
lc_5,1,4,1,0.274,cal
lc_5,1,5,0,0.282,cal
lc_5,1,6,1,0.301,cal
lc_5,1,7,0,0.362,cal
lc_5,1,8,1,0.227,cal
lc_5,1,9,1,0.355,cal
lc_5,1,10,1,0.337,cal
lc_5,1,11,0,0.282,cal
lc_5,1,12,0,0.255,cal
lc_5,1,13,0,0.293,cal
lc_5,1,14,0,0.414,cal
lc_5,1,15,1,0.314,cal
lc_5,1,16,1,0.283,cal
lc_5,1,17,1,0.348,cal
lc_5,1,18,0,0.286,cal
lc_5,1,19,0,0.093,cal
lc_5,2,1,0,0.283,lon
lc_5,2,2,0,0.271,lon
lc_5,2,3,1,0.229,lon
lc_5,2,4,0,0.254,lon
lc_5,2,5,0,0.328,lon
lc_5,2,6,1,0.34,lon
lc_5,2,7,1,0.275,lon
lc_5,2,8,1,0.252,lon
lc_5,2,9,1,0.279,lon
lc_5,2,10,0,0.171,lon
lc_5,2,11,0,0.214,lon
lc_5,2,12,0,0.29,lon
lc_5,2,13,0,0.231,lon
lc_5,2,14,1,0.25,lon
lc_5,2,15,1,0.24,lon
lc_5,2,16,1,0.293,lon
lc_5,2,17,1,0.296,lon
lc_5,2,18,0,0.223,lon
lc_5,2,19,0,0.234,lon
lc_5,2,20,0,0.262,lon
lc_5,3,1,0,0.224,bc_lon
lc_5,3,2,1,0.313,bc_lon
lc_5,3,3,0,0.272,bc_lon
lc_5,3,4,0,0.308,bc_lon
lc_5,3,5,1,0.329,bc_lon
lc_5,3,6,1,0.247,bc_lon
lc_5,3,7,0,0.264,bc_lon
lc_5,3,8,1,0.296,bc_lon
lc_5,3,9,0,0.339,bc_lon
lc_5,3,10,0,0.254,bc_lon
lc_5,3,11,1,0.293,bc_lon
lc_5,3,12,1,0.268,bc_lon
lc_5,3,13,1,0.232,bc_lon
lc_5,3,14,0,0.29,bc_lon
lc_5,3,15,1,0.324,bc_lon
lc_5,3,16,1,0.222,bc_lon
lc_5,3,17,1,0.373,bc_lon
lc_5,3,18,0,0.253,bc_lon
lc_5,3,19,1,0.376,bc_lon
lc_5,3,20,1,0.298,bc_lon
lc_5,4,1,1,0.251,f2
lc_5,4,2,0,0.308,f2
lc_5,4,3,1,0.292,f2
lc_5,4,4,1,0.263,f2
lc_5,4,5,0,0.287,f2
lc_5,4,6,1,0.265,f2
lc_5,4,7,0,0.236,f2
lc_5,4,8,1,0.277,f2
lc_5,4,9,1,0.29,f2
lc_5,4,10,0,0.247,f2
lc_5,4,11,0,0.225,f2
lc_5,4,12,1,0.343,f2
lc_5,4,13,0,0.261,f2
lc_5,4,14,1,0.319,f2
lc_5,4,15,1,0.356,f2
lc_5,4,16,0,0.295,f2
lc_5,4,17,1,0.251,f2
lc_5,4,18,1,0.296,f2
lc_5,4,19,1,0.299,f2
lc_5,5,1,1,0.355,f1
lc_5,5,2,0,0.413,f1
lc_5,5,3,0,0.323,f1
lc_5,5,4,1,0.348,f1
lc_5,5,5,0,0.283,f1
lc_5,5,6,0,0.381,f1
lc_5,5,7,1,0.331,f1
lc_5,5,8,0,0.314,f1
lc_5,5,9,1,0.338,f1
lc_5,5,10,0,0.371,f1
lc_5,5,11,0,0.34,f1
lc_5,5,12,1,0.325,f1
lc_5,5,13,1,0.264,f1
lc_5,5,14,0,0.351,f1
lc_5,5,15,1,0.302,f1
lc_5,5,16,1,0.413,f1
lc_5,5,17,0,0.31,f1
lc_5,5,18,1,0.346,f1
lc_5,5,19,1,0.34,f1
lc_5,5,20,0,0.394,f1
lc_5,6,1,1,0.302,f2
lc_5,6,2,1,0.273,f2
lc_5,6,3,1,0.287,f2
lc_5,6,4,1,0.279,f2
lc_5,6,5,1,0.284,f2
lc_5,6,6,1,0.236,f2
lc_5,6,7,1,0.214,f2
lc_5,6,8,1,0.253,f2
lc_5,6,9,1,0.312,f2
lc_5,6,10,1,0.246,f2
lc_5,6,11,0,0.275,f2
lc_5,6,12,0,0.282,f2
lc_5,6,13,0,0.312,f2
lc_5,6,14,0,0.282,f2
lc_5,6,15,0,0.329,f2
lc_5,6,16,0,0.214,f2
lc_5,6,17,0,0.246,f2
lc_5,6,18,1,0.255,f2
lc_5,6,19,0,0.313,f2
lc_5,6,20,0,0.3,f2
lc_5,7,1,0,0.284,f1
lc_5,7,2,1,0.454,f1
lc_5,7,3,0,0.283,f1
lc_5,7,4,1,0.305,f1
lc_5,7,5,1,0.378,f1
lc_5,7,6,0,0.352,f1
lc_5,7,7,1,0.423,f1
lc_5,7,8,0,0.339,f1
lc_5,7,9,1,0.288,f1
lc_5,7,10,1,0.294,f1
lc_5,7,11,1,0.349,f1
lc_5,7,12,1,0.264,f1
lc_5,7,13,1,0.306,f1
lc_5,7,14,1,0.282,f1
lc_5,7,15,1,0.409,f1
lc_5,7,16,1,0.337,f1
lc_5,7,17,1,0.377,f1
lc_5,7,18,1,0.294,f1
lc_5,7,19,1,0.357,f1
lc_5,7,20,1,0.345,f1
lc_5,8,1,0,0.271,cal
lc_5,8,2,0,0.296,cal
lc_5,8,3,1,0.294,cal
lc_5,8,4,1,0.382,cal
lc_5,8,5,0,0.289,cal
lc_5,8,6,1,0.262,cal
lc_5,8,7,1,0.292,cal
lc_5,8,8,1,0.25,cal
lc_5,8,9,0,0.292,cal
lc_5,8,10,0,0.219,cal
lc_5,8,11,1,0.328,cal
lc_5,8,12,0,0.289,cal
lc_5,8,13,0,0.169,cal
lc_5,8,14,0,0.35,cal
lc_5,8,15,0,0.203,cal
lc_5,8,16,0,0.293,cal
lc_5,8,17,1,0.331,cal
lc_5,8,18,0,0.235,cal
lc_5,8,19,0,0.273,cal
lc_5,8,20,1,0.312,cal
lc_5,9,1,0,0.288,bc_cal
lc_5,9,2,1,0.258,bc_cal
lc_5,9,3,0,0.338,bc_cal
lc_5,9,4,1,0.312,bc_cal
lc_5,9,5,1,0.359,bc_cal
lc_5,9,6,0,0.255,bc_cal
lc_5,9,7,1,0.361,bc_cal
lc_5,9,8,1,0.256,bc_cal
lc_5,9,9,0,0.213,bc_cal
lc_5,9,10,1,0.305,bc_cal
lc_5,9,11,1,0.285,bc_cal
lc_5,9,12,1,0.297,bc_cal
lc_5,9,13,1,0.283,bc_cal
lc_5,9,14,0,0.336,bc_cal
lc_5,9,15,1,0.35,bc_cal
lc_5,9,16,1,0.281,bc_cal
lc_5,9,17,0,0.3,bc_cal
lc_5,9,18,1,0.309,bc_cal
lc_5,9,19,1,0.272,bc_cal
lc_5,9,20,0,0.212,bc_cal
lc_5,10,1,0,0.265,bc_cal
lc_5,10,2,1,0.257,bc_cal
lc_5,10,3,0,0.287,bc_cal
lc_5,10,4,1,0.255,bc_cal
lc_5,10,5,0,0.269,bc_cal
lc_5,10,6,1,0.302,bc_cal
lc_5,10,7,1,0.207,bc_cal
lc_5,10,8,0,0.382,bc_cal
lc_5,10,9,1,0.224,bc_cal
lc_5,10,10,0,0.305,bc_cal
lc_5,10,11,0,0.238,bc_cal
lc_5,10,12,0,0.33,bc_cal
lc_5,10,13,0,0.241,bc_cal
lc_5,10,14,1,0.204,bc_cal
lc_5,10,15,1,0.273,bc_cal
lc_5,10,16,0,0.2,bc_cal
lc_5,10,17,0,0.267,bc_cal
lc_5,10,18,0,0.182,bc_cal
lc_5,11,1,0,0.24,bc_lon
lc_5,11,2,1,0.237,bc_lon
lc_5,11,3,0,0.297,bc_lon
lc_5,11,4,0,0.256,bc_lon
lc_5,11,5,0,0.208,bc_lon
lc_5,11,6,1,0.229,bc_lon
lc_5,11,7,0,0.288,bc_lon
lc_5,11,8,1,0.238,bc_lon
lc_5,11,9,0,0.205,bc_lon
lc_5,11,10,0,0.196,bc_lon
lc_5,11,11,1,0.287,bc_lon
lc_5,11,12,1,0.246,bc_lon
lc_5,11,13,0,0.174,bc_lon
lc_5,11,14,0,0.136,bc_lon
lc_5,11,15,1,0.27,bc_lon
lc_5,11,16,1,0.323,bc_lon
lc_5,11,17,1,0.272,bc_lon
lc_5,11,18,0,0.353,bc_lon
lc_5,11,19,0,0.337,bc_lon
lc_5,11,20,1,0.223,bc_lon
lc_5,12,1,1,0.368,lon
lc_5,12,2,1,0.352,lon
lc_5,12,3,0,0.261,lon
lc_5,12,4,0,0.415,lon
lc_5,12,5,0,0.264,lon
lc_5,12,6,0,0.342,lon
lc_5,12,7,1,0.375,lon
lc_5,12,8,0,0.326,lon
lc_5,12,9,0,0.334,lon
lc_5,12,10,0,0.24,lon
lc_5,12,11,0,0.286,lon
lc_5,12,12,1,0.378,lon
lc_5,12,13,0,0.243,lon
lc_5,12,14,0,0.249,lon
lc_5,12,15,0,0.449,lon
lc_5,12,16,0,0.289,lon
lc_5,12,17,0,0.407,lon
lc_5,12,18,0,0.258,lon
lc_5,12,19,1,0.334,lon
lc_6,1,1,0,0.222,bc_cal
lc_6,1,2,1,0.289,bc_cal
lc_6,1,3,0,0.258,bc_cal
lc_6,1,4,1,0.27,bc_cal
lc_6,1,5,0,0.363,bc_cal
lc_6,1,6,1,0.36,bc_cal
lc_6,1,7,1,0.22,bc_cal
lc_6,1,8,1,0.211,bc_cal
lc_6,1,9,0,0.313,bc_cal
lc_6,1,10,1,0.258,bc_cal
lc_6,1,11,1,0.209,bc_cal
lc_6,1,12,1,0.14,bc_cal
lc_6,1,13,1,0.249,bc_cal
lc_6,1,14,0,0.189,bc_cal
lc_6,1,15,1,0.285,bc_cal
lc_6,1,16,1,0.256,bc_cal
lc_6,1,17,0,0.239,bc_cal
lc_6,1,18,0,0.215,bc_cal
lc_6,1,19,0,0.319,bc_cal
lc_6,2,1,1,0.331,cal
lc_6,2,2,0,0.359,cal
lc_6,2,3,0,0.282,cal
lc_6,2,4,0,0.279,cal
lc_6,2,5,0,0.333,cal
lc_6,2,6,1,0.37,cal
lc_6,2,7,0,0.246,cal
lc_6,2,8,1,0.275,cal
lc_6,2,9,0,0.347,cal
lc_6,2,10,0,0.197,cal
lc_6,2,11,0,0.27,cal
lc_6,2,12,0,0.224,cal
lc_6,2,13,0,0.313,cal
lc_6,2,14,0,0.316,cal
lc_6,2,15,0,0.297,cal
lc_6,2,16,0,0.29,cal
lc_6,2,17,0,0.302,cal
lc_6,2,18,0,0.234,cal
lc_6,2,19,0,0.27,cal
lc_6,3,1,0,0.124,bc_lon
lc_6,3,2,0,0.198,bc_lon
lc_6,3,3,0,0.196,bc_lon
lc_6,3,4,1,0.231,bc_lon
lc_6,3,5,0,0.211,bc_lon
lc_6,3,6,0,0.327,bc_lon
lc_6,3,7,1,0.321,bc_lon
lc_6,3,8,0,0.223,bc_lon
lc_6,3,9,0,0.296,bc_lon
lc_6,3,10,0,0.286,bc_lon
lc_6,3,11,0,0.231,bc_lon
lc_6,3,12,0,0.223,bc_lon
lc_6,3,13,0,0.24,bc_lon
lc_6,3,14,1,0.283,bc_lon
lc_6,3,15,0,0.281,bc_lon
lc_6,3,16,0,0.254,bc_lon
lc_6,3,17,1,0.201,bc_lon
lc_6,3,18,0,0.171,bc_lon
lc_6,3,19,0,0.241,bc_lon
lc_6,4,1,1,0.276,f1
lc_6,4,2,1,0.321,f1
lc_6,4,3,0,0.371,f1
lc_6,4,4,1,0.313,f1
lc_6,4,5,1,0.245,f1
lc_6,4,6,1,0.253,f1
lc_6,4,7,1,0.394,f1
lc_6,4,8,1,0.215,f1
lc_6,4,9,0,0.247,f1
lc_6,4,10,0,0.246,f1
lc_6,4,11,1,0.213,f1
lc_6,4,12,1,0.28,f1
lc_6,4,13,1,0.252,f1
lc_6,4,14,1,0.299,f1
lc_6,4,15,1,0.301,f1
lc_6,4,16,0,0.198,f1
lc_6,4,17,0,0.256,f1
lc_6,4,18,1,0.346,f1
lc_6,4,19,0,0.279,f1
lc_6,4,20,0,0.163,f1
lc_6,5,1,0,0.296,bc_cal
lc_6,5,2,0,0.191,bc_cal
lc_6,5,3,0,0.217,bc_cal
lc_6,5,4,0,0.273,bc_cal
lc_6,5,5,0,0.332,bc_cal
lc_6,5,6,1,0.291,bc_cal
lc_6,5,7,0,0.196,bc_cal
lc_6,5,8,1,0.328,bc_cal
lc_6,5,9,0,0.211,bc_cal
lc_6,5,10,0,0.328,bc_cal
lc_6,5,11,0,0.3,bc_cal
lc_6,5,12,0,0.305,bc_cal
lc_6,5,13,1,0.213,bc_cal
lc_6,5,14,1,0.294,bc_cal
lc_6,5,15,0,0.206,bc_cal
lc_6,5,16,1,0.24,bc_cal
lc_6,5,17,1,0.31,bc_cal
lc_6,5,18,0,0.28,bc_cal
lc_6,5,19,1,0.244,bc_cal
lc_6,6,1,0,0.145,f2
lc_6,6,2,1,0.298,f2
lc_6,6,3,0,0.242,f2
lc_6,6,4,0,0.231,f2
lc_6,6,5,1,0.259,f2
lc_6,6,6,0,0.267,f2
lc_6,6,7,0,0.225,f2
lc_6,6,8,1,0.249,f2
lc_6,6,9,1,0.266,f2
lc_6,6,10,1,0.216,f2
lc_6,6,11,1,0.274,f2
lc_6,6,12,1,0.322,f2
lc_6,6,13,1,0.247,f2
lc_6,6,14,0,0.226,f2
lc_6,6,15,0,0.295,f2
lc_6,6,16,1,0.262,f2
lc_6,6,17,1,0.196,f2
lc_6,6,18,0,0.233,f2
lc_6,6,19,1,0.258,f2
lc_6,7,1,1,0.289,cal
lc_6,7,2,0,0.26,cal
lc_6,7,3,1,0.234,cal
lc_6,7,4,1,0.286,cal
lc_6,7,5,1,0.268,cal
lc_6,7,6,1,0.283,cal
lc_6,7,7,1,0.419,cal
lc_6,7,8,1,0.224,cal
lc_6,7,9,1,0.308,cal
lc_6,7,10,1,0.246,cal
lc_6,7,11,1,0.372,cal
lc_6,7,12,1,0.287,cal
lc_6,7,13,0,0.293,cal
lc_6,7,14,0,0.292,cal
lc_6,7,15,1,0.31,cal
lc_6,7,16,1,0.319,cal
lc_6,7,17,0,0.382,cal
lc_6,7,18,1,0.263,cal
lc_6,7,19,0,0.323,cal
lc_6,7,20,0,0.181,cal
lc_6,8,1,0,0.238,f2
lc_6,8,2,1,0.322,f2
lc_6,8,3,0,0.177,f2
lc_6,8,4,0,0.266,f2
lc_6,8,5,0,0.236,f2
lc_6,8,6,0,0.246,f2
lc_6,8,7,0,0.244,f2
lc_6,8,8,1,0.278,f2
lc_6,8,9,1,0.233,f2
lc_6,8,10,1,0.38,f2
lc_6,8,11,0,0.221,f2
lc_6,8,12,1,0.293,f2
lc_6,8,13,0,0.193,f2
lc_6,8,14,1,0.321,f2
lc_6,8,15,0,0.233,f2
lc_6,8,16,0,0.238,f2
lc_6,8,17,0,0.34,f2
lc_6,8,18,0,0.216,f2
lc_6,9,1,1,0.375,f1
lc_6,9,2,1,0.38,f1
lc_6,9,3,0,0.322,f1
lc_6,9,4,1,0.323,f1
lc_6,9,5,0,0.306,f1
lc_6,9,6,1,0.295,f1
lc_6,9,7,1,0.366,f1
lc_6,9,8,1,0.301,f1
lc_6,9,9,1,0.354,f1
lc_6,9,10,0,0.324,f1
lc_6,9,11,1,0.376,f1
lc_6,9,12,0,0.284,f1
lc_6,9,13,1,0.192,f1
lc_6,9,14,0,0.365,f1
lc_6,9,15,0,0.265,f1
lc_6,9,16,1,0.352,f1
lc_6,9,17,0,0.251,f1
lc_6,10,1,0,0.208,lon
lc_6,10,2,0,0.151,lon
lc_6,10,3,0,0.274,lon
lc_6,10,4,0,0.284,lon
lc_6,10,5,1,0.302,lon
lc_6,10,6,0,0.276,lon
lc_6,10,7,1,0.17,lon
lc_6,10,8,0,0.27,lon
lc_6,10,9,0,0.197,lon
lc_6,10,10,0,0.255,lon
lc_6,10,11,1,0.264,lon
lc_6,10,12,0,0.252,lon
lc_6,10,13,1,0.174,lon
lc_6,10,14,1,0.306,lon
lc_6,10,15,1,0.316,lon
lc_6,10,16,0,0.286,lon
lc_6,10,17,0,0.191,lon
lc_6,10,18,1,0.23,lon
lc_6,10,19,1,0.251,lon
lc_6,11,1,0,0.238,lon
lc_6,11,2,0,0.27,lon
lc_6,11,3,0,0.323,lon
lc_6,11,4,1,0.312,lon
lc_6,11,5,1,0.33,lon
lc_6,11,6,1,0.235,lon
lc_6,11,7,1,0.358,lon
lc_6,11,8,0,0.381,lon
lc_6,11,9,1,0.368,lon
lc_6,11,10,1,0.301,lon
lc_6,11,11,1,0.273,lon
lc_6,11,12,0,0.301,lon
lc_6,11,13,1,0.393,lon
lc_6,11,14,1,0.285,lon
lc_6,11,15,1,0.292,lon
lc_6,11,16,1,0.344,lon
lc_6,11,17,0,0.312,lon
lc_6,11,18,0,0.268,lon
lc_6,11,19,0,0.298,lon
lc_6,12,1,0,0.211,bc_lon
lc_6,12,2,0,0.263,bc_lon
lc_6,12,3,0,0.326,bc_lon
lc_6,12,4,1,0.334,bc_lon
lc_6,12,5,1,0.26,bc_lon
lc_6,12,6,0,0.222,bc_lon
lc_6,12,7,0,0.326,bc_lon
lc_6,12,8,0,0.221,bc_lon
lc_6,12,9,1,0.221,bc_lon
lc_6,12,10,0,0.2,bc_lon
lc_6,12,11,1,0.2,bc_lon
lc_6,12,12,1,0.214,bc_lon
lc_6,12,13,1,0.351,bc_lon
lc_6,12,14,1,0.324,bc_lon
lc_6,12,15,1,0.262,bc_lon
lc_6,12,16,1,0.268,bc_lon
lc_6,12,17,0,0.203,bc_lon
lc_6,12,18,1,0.152,bc_lon
lc_6,12,19,1,0.191,bc_lon
